Data Loading is completed
Total Number of Edges:  11797471
Train Number of Edges:  8258230
Valid Number of Edges:  2359494
Test Number of Edges:  1179747
Graph Splitting is completed
For Feature: esm_features ; Sage Model
Epoch: 09 | Iteration: 00000 | Loss: 0.5008 | Training Accuracy: 73.9258 | AUC Score: 0.8263
Epoch: 09 | Iteration: 04000 | Loss: 0.4993 | Training Accuracy: 76.0742 | AUC Score: 0.8281
Epoch: 09 | Iteration: 08000 | Loss: 0.4991 | Training Accuracy: 72.9492 | AUC Score: 0.8177
Epoch: 09 | Iteration: 12000 | Loss: 0.4990 | Training Accuracy: 74.5117 | AUC Score: 0.8217
Epoch: 09 | Iteration: 16000 | Loss: 0.4988 | Training Accuracy: 76.7578 | AUC Score: 0.8345
Epoch: 09 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 76.2748 | AUC Score: 0.8460
Epoch: 10 | Iteration: 00000 | Loss: 0.4865 | Training Accuracy: 76.3672 | AUC Score: 0.8417
Epoch: 10 | Iteration: 04000 | Loss: 0.4977 | Training Accuracy: 75.1953 | AUC Score: 0.8226
Epoch: 10 | Iteration: 08000 | Loss: 0.4974 | Training Accuracy: 74.9023 | AUC Score: 0.8200
Epoch: 10 | Iteration: 12000 | Loss: 0.4974 | Training Accuracy: 77.0508 | AUC Score: 0.8434
Epoch: 10 | Iteration: 16000 | Loss: 0.4973 | Training Accuracy: 74.0234 | AUC Score: 0.8249
Epoch: 10 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 76.4834 | AUC Score: 0.8484
Epoch: 11 | Iteration: 00000 | Loss: 0.4979 | Training Accuracy: 75.1953 | AUC Score: 0.8296
Epoch: 11 | Iteration: 04000 | Loss: 0.4965 | Training Accuracy: 76.7578 | AUC Score: 0.8522
Epoch: 11 | Iteration: 08000 | Loss: 0.4963 | Training Accuracy: 75.3906 | AUC Score: 0.8409
Epoch: 11 | Iteration: 12000 | Loss: 0.4963 | Training Accuracy: 75.1953 | AUC Score: 0.8262
Epoch: 11 | Iteration: 16000 | Loss: 0.4962 | Training Accuracy: 78.3203 | AUC Score: 0.8592
Epoch: 11 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 76.4110 | AUC Score: 0.8475
Epoch: 12 | Iteration: 00000 | Loss: 0.4854 | Training Accuracy: 76.3672 | AUC Score: 0.8406
Epoch: 12 | Iteration: 04000 | Loss: 0.4951 | Training Accuracy: 76.5625 | AUC Score: 0.8407
