Data Loading is completed
Total Number of Edges:  10893974
Train Number of Edges:  7625783
Valid Number of Edges:  2178794
Test Number of Edges:  1089397
Graph Splitting is completed
For Feature: alphafold_feat ; Sage Model
Epoch: 10 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 75.5727 | AUC Score: 0.8387
Epoch: 11 | Iteration: 00000 | Loss: 0.4974 | Training Accuracy: 74.1211 | AUC Score: 0.8307
Epoch: 11 | Iteration: 04000 | Loss: 0.5108 | Training Accuracy: 72.7539 | AUC Score: 0.8060
Epoch: 11 | Iteration: 08000 | Loss: 0.5106 | Training Accuracy: 73.8281 | AUC Score: 0.8092
Epoch: 11 | Iteration: 12000 | Loss: 0.5105 | Training Accuracy: 72.6562 | AUC Score: 0.8023
Epoch: 11 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 75.8126 | AUC Score: 0.8414
Epoch: 12 | Iteration: 00000 | Loss: 0.5162 | Training Accuracy: 75.0000 | AUC Score: 0.8195
Epoch: 12 | Iteration: 04000 | Loss: 0.5098 | Training Accuracy: 73.8281 | AUC Score: 0.8042
Epoch: 12 | Iteration: 08000 | Loss: 0.5097 | Training Accuracy: 73.8281 | AUC Score: 0.8107
Epoch: 12 | Iteration: 12000 | Loss: 0.5095 | Training Accuracy: 74.3164 | AUC Score: 0.8196
Epoch: 12 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 76.0473 | AUC Score: 0.8443
Epoch: 13 | Iteration: 00000 | Loss: 0.5039 | Training Accuracy: 75.0000 | AUC Score: 0.8284
Epoch: 13 | Iteration: 04000 | Loss: 0.5088 | Training Accuracy: 75.7812 | AUC Score: 0.8266
Epoch: 13 | Iteration: 08000 | Loss: 0.5087 | Training Accuracy: 74.3164 | AUC Score: 0.8326
Epoch: 13 | Iteration: 12000 | Loss: 0.5086 | Training Accuracy: 74.1211 | AUC Score: 0.8155
Epoch: 13 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 75.6415 | AUC Score: 0.8390
Epoch: 14 | Iteration: 00000 | Loss: 0.5059 | Training Accuracy: 75.3906 | AUC Score: 0.8269
Epoch: 14 | Iteration: 04000 | Loss: 0.5077 | Training Accuracy: 78.1250 | AUC Score: 0.8603
Epoch: 14 | Iteration: 08000 | Loss: 0.5076 | Training Accuracy: 76.7578 | AUC Score: 0.8367
Epoch: 14 | Iteration: 12000 | Loss: 0.5076 | Training Accuracy: 71.9727 | AUC Score: 0.8031
Epoch: 14 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 76.0797 | AUC Score: 0.8444
Epoch: 15 | Iteration: 00000 | Loss: 0.4977 | Training Accuracy: 74.8047 | AUC Score: 0.8328
Epoch: 15 | Iteration: 04000 | Loss: 0.5073 | Training Accuracy: 75.0000 | AUC Score: 0.8356
Epoch: 15 | Iteration: 08000 | Loss: 0.5073 | Training Accuracy: 74.9023 | AUC Score: 0.8245
Epoch: 15 | Iteration: 12000 | Loss: 0.5070 | Training Accuracy: 73.4375 | AUC Score: 0.8134
Epoch: 15 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 75.8625 | AUC Score: 0.8417
Epoch: 16 | Iteration: 00000 | Loss: 0.4925 | Training Accuracy: 75.5859 | AUC Score: 0.8353
Epoch: 16 | Iteration: 04000 | Loss: 0.5066 | Training Accuracy: 73.4375 | AUC Score: 0.8114
Epoch: 16 | Iteration: 08000 | Loss: 0.5066 | Training Accuracy: 74.1211 | AUC Score: 0.8311
Epoch: 16 | Iteration: 12000 | Loss: 0.5063 | Training Accuracy: 74.5117 | AUC Score: 0.8293
Epoch: 16 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 76.0744 | AUC Score: 0.8446
Epoch: 17 | Iteration: 00000 | Loss: 0.5050 | Training Accuracy: 74.4141 | AUC Score: 0.8256
Epoch: 17 | Iteration: 04000 | Loss: 0.5055 | Training Accuracy: 73.5352 | AUC Score: 0.8098
Epoch: 17 | Iteration: 08000 | Loss: 0.5056 | Training Accuracy: 73.6328 | AUC Score: 0.8130
Epoch: 17 | Iteration: 12000 | Loss: 0.5056 | Training Accuracy: 77.6367 | AUC Score: 0.8471
Epoch: 17 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 76.1507 | AUC Score: 0.8448
Epoch: 18 | Iteration: 00000 | Loss: 0.5145 | Training Accuracy: 74.9023 | AUC Score: 0.8206
Epoch: 18 | Iteration: 04000 | Loss: 0.5051 | Training Accuracy: 74.9023 | AUC Score: 0.8323
Epoch: 18 | Iteration: 08000 | Loss: 0.5051 | Training Accuracy: 76.4648 | AUC Score: 0.8303
Epoch: 18 | Iteration: 12000 | Loss: 0.5051 | Training Accuracy: 75.5859 | AUC Score: 0.8392
Epoch: 18 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 76.0980 | AUC Score: 0.8439
Epoch: 19 | Iteration: 00000 | Loss: 0.5245 | Training Accuracy: 73.8281 | AUC Score: 0.8137
Epoch: 19 | Iteration: 04000 | Loss: 0.5046 | Training Accuracy: 72.9492 | AUC Score: 0.8072
Epoch: 19 | Iteration: 08000 | Loss: 0.5045 | Training Accuracy: 75.7812 | AUC Score: 0.8337
Epoch: 19 | Iteration: 12000 | Loss: 0.5045 | Training Accuracy: 76.2695 | AUC Score: 0.8390
Epoch: 19 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 76.0686 | AUC Score: 0.8441
Epoch: 19 | Iteration: 00000 | Loss: 0.0000 | Testing Accuracy: 76.0306 | AUC Score: 0.8434
=================================
For Feature: alphafold_feat ; GAT Model
Epoch: 00 | Iteration: 00000 | Loss: 0.6933 | Training Accuracy: 52.3438 | AUC Score: 0.5169
